"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue May 16 17:15:20 CDT 2023","Tue May 16 17:15:22 CDT 2023","2203","","Array Page","","User validate PracticeQuestion Array Page","","User validate PracticeQuestion Array Page",""
"passed","Tue May 16 16:15:30 CDT 2023","Tue May 16 16:15:33 CDT 2023","2466","Default suite","Default test","runner.testRunner","runner.testRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Tue May 16 16:15:49 CDT 2023","Tue May 16 16:15:57 CDT 2023","8218","Default suite","Default test","runner.testRunner","runner.testRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Tue May 16 17:16:19 CDT 2023","Tue May 16 17:16:21 CDT 2023","2203","","Queue","","User click on Try Here button and enter valid and invalid python code in tryEditor for Queue","","User click on Try Here button and enter valid and invalid python code in tryEditor for Queue",""
"passed","Tue May 16 16:14:58 CDT 2023","Tue May 16 16:15:03 CDT 2023","4190","Default suite","Default test","runner.testRunner","runner.testRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Tue May 16 16:18:42 CDT 2023","Tue May 16 16:18:42 CDT 2023","35","Default suite","Default test","runner.testRunner","runner.testRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Tue May 16 16:18:02 CDT 2023","Tue May 16 16:18:04 CDT 2023","2203","Default suite","Default test","runner.testRunner","runner.testRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Tue May 16 17:14:34 CDT 2023","Tue May 16 17:14:41 CDT 2023","7086","","Data Structure Intro","","User entered valid login details on Login Page and logged in","","User entered valid login details on Login Page and logged in",""
"broken","Tue May 16 17:17:01 CDT 2023","Tue May 16 17:17:03 CDT 2023","2175","","Graph","","User click on Try Here button and enter valid and invalid python code in tryEditor for Graph","","User click on Try Here button and enter valid and invalid python code in tryEditor for Graph",""
"broken","Tue May 16 17:15:16 CDT 2023","Tue May 16 17:15:18 CDT 2023","2163","","Array Page","","User validate PracticeQuestion Array Page","","User validate PracticeQuestion Array Page",""
"broken","Tue May 16 17:15:07 CDT 2023","Tue May 16 17:15:09 CDT 2023","2150","","Array Page","","User validate ArrayPage","","User validate ArrayPage",""
"passed","Tue May 16 16:15:08 CDT 2023","Tue May 16 16:15:10 CDT 2023","1695","Default suite","Default test","runner.testRunner","runner.testRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Tue May 16 17:15:51 CDT 2023","Tue May 16 17:15:55 CDT 2023","4190","","Linked List","","User click on Try Here button and enter valid and invalid python code in tryEditor for LinkedList","","User click on Try Here button and enter valid and invalid python code in tryEditor for LinkedList",""
"broken","Tue May 16 17:16:29 CDT 2023","Tue May 16 17:16:31 CDT 2023","2175","","Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree",""
"broken","Tue May 16 17:15:11 CDT 2023","Tue May 16 17:15:14 CDT 2023","2188","","Array Page","","PracticeQuestion Page","","PracticeQuestion Page",""
"broken","Tue May 16 17:17:05 CDT 2023","Tue May 16 17:17:07 CDT 2023","2197","","Graph","","User navigate back to selected Graph Topic Page and try Practice Question Page","","User navigate back to selected Graph Topic Page and try Practice Question Page",""
"broken","Tue May 16 16:18:42 CDT 2023","Tue May 16 16:18:42 CDT 2023","36","Default suite","Default test","runner.testRunner","runner.testRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Tue May 16 17:16:36 CDT 2023","Tue May 16 17:16:38 CDT 2023","2159","","Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree",""
"passed","Tue May 16 17:14:03 CDT 2023","Tue May 16 17:14:07 CDT 2023","3837","","Register Page validation","","The user opens Register Page and entered valid user Details","","The user opens Register Page and entered valid user Details",""
"passed","Tue May 16 17:13:57 CDT 2023","Tue May 16 17:14:00 CDT 2023","3070","","Register Page validation","","The user is on Register Page and entered invalid user Details","","The user is on Register Page and entered invalid user Details",""
"broken","Tue May 16 16:18:04 CDT 2023","Tue May 16 16:18:07 CDT 2023","2193","Default suite","Default test","runner.testRunner","runner.testRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Tue May 16 16:18:42 CDT 2023","Tue May 16 16:18:42 CDT 2023","21","Default suite","Default test","runner.testRunner","runner.testRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Tue May 16 16:16:49 CDT 2023","Tue May 16 16:16:50 CDT 2023","258","Default suite","Default test","runner.testRunner","runner.testRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Tue May 16 17:13:45 CDT 2023","Tue May 16 17:13:47 CDT 2023","1690","","Register Page validation","","User click on register button with Password field blank","","User click on register button with Password field blank",""
"passed","Tue May 16 16:16:10 CDT 2023","Tue May 16 16:16:14 CDT 2023","4713","Default suite","Default test","runner.testRunner","runner.testRunner","runScenario","Runs Cucumber Scenarios",""
